LOCATION,LE-VALUE,GDP VALUE
AUS,83,52956.73691
AUT,82,58656.34638
BEL,82.1,54918.05364
CAN,82.1,50660.58744
CZE,79.3,43326.663
DNK,81.5,59870.02533
FIN,82.1,51521.39825
FRA,82.9,49344.70871
DEU,81.4,56284.93644
GRC,81.7,30841.80174
HUN,76.4,33961.56557
ISL,83.2,60126.54178
IRL,82.8,89680.96917
ITA,83.6,44950.91166
JPN,84.4,42929.66131
KOR,83.3,42849.56029
LUX,82.7,119127.5119
MEX,75.1,20748.03272
NLD,82.2,59674.76803
NZL,82.1,44612.2794
NOR,83,68343.74079
POL,78,33858.27634
PRT,81.8,36945.03996
SVK,77.8,32613.73252
ESP,83.9,42197.33536
SWE,83.2,55337.87222
CHE,84,73143.78331
TUR,78.6,27584.46933
GBR,81.4,49362.79116
USA,78.9,65055.78537
CHL,80.6,25856.98547
EST,78.8,16077.32138
ISR,82.9,38354.57373
SVN,81.6,42313.76366
COL,76.7,41184.96012
LVA,75.5,32251.47221
LTU,76.4,38805.78025
CRI,80.5,21759.3813